iso1,iso2,weight
ABW,AUT,74.0
ABW,BEL,74.0
ABW,BGR,74.0
ABW,CYP,74.0
ABW,CZE,74.0
ABW,DEU,74.0
ABW,DNK,74.0
ABW,ESP,74.0
ABW,EST,74.0
ABW,FIN,74.0
ABW,FRA,74.0
ABW,GRC,74.0
ABW,HRV,74.0
ABW,HUN,74.0
ABW,IRL,74.0
ABW,ITA,74.0
ABW,LTU,74.0
ABW,LUX,74.0
ABW,LVA,74.0
ABW,MLT,74.0
ABW,NLD,74.0
ABW,POL,74.0
ABW,PRT,74.0
ABW,ROU,74.0
ABW,SVK,74.0
ABW,SVN,74.0
ABW,SWE,74.0
AUT,AIA,74.0
AUT,ALB,170.0
AUT,AND,39.0
AUT,ARM,299.0
AUT,ATG,283.0
AUT,BEL,160.0
AUT,BGR,151.0
AUT,BHS,283.0
AUT,BIH,196.0
AUT,BLZ,283.0
AUT,BMU,74.0
AUT,BRB,283.0
AUT,BWA,136.0
AUT,CAN,432.0
AUT,CHE,201.0
AUT,CHL,262.0
AUT,CIV,86.0
AUT,CMR,118.0
AUT,COL,355.0
AUT,COM,84.0
AUT,CRI,352.0
AUT,CYM,74.0
AUT,CYP,152.0
AUT,CZE,152.0
AUT,DEU,160.0
AUT,DMA,283.0
AUT,DNK,160.0
AUT,DOM,283.0
AUT,DZA,153.0
AUT,ECU,355.0
AUT,EGY,141.0
AUT,ESP,160.0
AUT,EST,152.0
AUT,FIN,160.0
AUT,FJI,101.0
AUT,FRA,160.0
AUT,FRO,69.0
AUT,GBR,409.0
AUT,GEO,332.0
AUT,GHA,77.0
AUT,GRC,160.0
AUT,GRD,283.0
AUT,GRL,74.0
AUT,GTM,352.0
AUT,GUY,283.0
AUT,HND,352.0
AUT,HRV,150.0
AUT,HTI,283.0
AUT,HUN,152.0
AUT,IRL,160.0
AUT,ISL,201.0
AUT,ISR,135.0
AUT,ITA,160.0
AUT,JAM,283.0
AUT,JOR,169.0
AUT,JPN,422.0
AUT,KNA,283.0
AUT,KOR,344.0
AUT,LBN,106.0
AUT,LCA,283.0
AUT,LIE,201.0
AUT,LSO,136.0
AUT,LTU,152.0
AUT,LUX,160.0
AUT,LVA,152.0
AUT,MAR,131.0
AUT,MDA,358.0
AUT,MDG,84.0
AUT,MEX,104.0
AUT,MKD,157.0
AUT,MLT,152.0
AUT,MNE,182.0
AUT,MOZ,136.0
AUT,MSR,74.0
AUT,MUS,84.0
AUT,NAM,136.0
AUT,NCL,74.0
AUT,NIC,352.0
AUT,NLD,160.0
AUT,NOR,201.0
AUT,PAN,352.0
AUT,PCN,74.0
AUT,PER,355.0
AUT,PNG,101.0
AUT,POL,152.0
AUT,PRT,160.0
AUT,PSE,117.0
AUT,PYF,74.0
AUT,ROU,151.0
AUT,SGP,354.0
AUT,SLB,101.0
AUT,SLV,352.0
AUT,SMR,30.0
AUT,SPM,74.0
AUT,SRB,197.0
AUT,SUR,283.0
AUT,SVK,152.0
AUT,SVN,152.0
AUT,SWE,160.0
AUT,SWZ,136.0
AUT,SYC,84.0
AUT,SYR,32.0
AUT,TCA,74.0
AUT,TTO,283.0
AUT,TUN,136.0
AUT,TUR,119.0
AUT,UKR,397.0
AUT,VCT,283.0
AUT,VNM,438.0
AUT,WLF,74.0
AUT,WSM,101.0
AUT,ZAF,136.0
AUT,ZWE,84.0
BEL,AIA,74.0
BEL,ALB,170.0
BEL,AND,39.0
BEL,ARM,299.0
BEL,ATG,283.0
BEL,BGR,151.0
BEL,BHS,283.0
BEL,BIH,196.0
BEL,BLZ,283.0
BEL,BMU,74.0
BEL,BRB,283.0
BEL,BWA,136.0
BEL,CAN,432.0
BEL,CHE,69.0
BEL,CHL,262.0
BEL,CIV,86.0
BEL,CMR,118.0
BEL,COL,355.0
BEL,COM,84.0
BEL,CRI,352.0
BEL,CYM,74.0
BEL,CYP,152.0
BEL,CZE,152.0
BEL,DEU,167.0
BEL,DMA,283.0
BEL,DNK,167.0
BEL,DOM,283.0
BEL,DZA,153.0
BEL,ECU,355.0
BEL,EGY,141.0
BEL,ESP,167.0
BEL,EST,152.0
BEL,FIN,160.0
BEL,FJI,101.0
BEL,FRA,167.0
BEL,FRO,69.0
BEL,GBR,409.0
BEL,GEO,332.0
BEL,GHA,77.0
BEL,GRC,167.0
BEL,GRD,283.0
BEL,GRL,74.0
BEL,GTM,352.0
BEL,GUY,283.0
BEL,HND,352.0
BEL,HRV,150.0
BEL,HTI,283.0
BEL,HUN,152.0
BEL,IRL,167.0
BEL,ISL,182.0
BEL,ISR,135.0
BEL,ITA,167.0
BEL,JAM,283.0
BEL,JOR,169.0
BEL,JPN,422.0
BEL,KNA,283.0
BEL,KOR,344.0
BEL,LBN,106.0
BEL,LCA,283.0
BEL,LIE,182.0
BEL,LSO,136.0
BEL,LTU,152.0
BEL,LUX,167.0
BEL,LVA,152.0
BEL,MAR,131.0
BEL,MDA,358.0
BEL,MDG,84.0
BEL,MEX,104.0
BEL,MKD,157.0
BEL,MLT,152.0
BEL,MNE,182.0
BEL,MOZ,136.0
BEL,MSR,74.0
BEL,MUS,84.0
BEL,NAM,136.0
BEL,NCL,74.0
BEL,NIC,352.0
BEL,NLD,167.0
BEL,NOR,182.0
BEL,PAN,352.0
BEL,PCN,74.0
BEL,PER,355.0
BEL,PNG,101.0
BEL,POL,152.0
BEL,PRT,167.0
BEL,PSE,117.0
BEL,PYF,74.0
BEL,ROU,151.0
BEL,SGP,354.0
BEL,SLB,101.0
BEL,SLV,352.0
BEL,SMR,30.0
BEL,SPM,74.0
BEL,SRB,197.0
BEL,SUR,283.0
BEL,SVK,152.0
BEL,SVN,152.0
BEL,SWE,160.0
BEL,SWZ,136.0
BEL,SYC,84.0
BEL,SYR,32.0
BEL,TCA,74.0
BEL,TTO,283.0
BEL,TUN,136.0
BEL,TUR,119.0
BEL,UKR,397.0
BEL,VCT,283.0
BEL,VNM,438.0
BEL,WLF,74.0
BEL,WSM,101.0
BEL,ZAF,136.0
BEL,ZWE,84.0
BGR,AIA,74.0
BGR,ALB,170.0
BGR,AND,39.0
BGR,ARM,299.0
BGR,ATG,283.0
BGR,BHS,283.0
BGR,BIH,196.0
BGR,BLZ,283.0
BGR,BMU,74.0
BGR,BRB,283.0
BGR,BWA,136.0
BGR,CAN,432.0
BGR,CHE,69.0
BGR,CHL,262.0
BGR,CIV,86.0
BGR,CMR,118.0
BGR,COL,355.0
BGR,COM,84.0
BGR,CRI,352.0
BGR,CYM,74.0
BGR,CYP,151.0
BGR,CZE,151.0
BGR,DEU,151.0
BGR,DMA,283.0
BGR,DNK,151.0
BGR,DOM,283.0
BGR,DZA,153.0
BGR,ECU,355.0
BGR,EGY,141.0
BGR,ESP,151.0
BGR,EST,151.0
BGR,FIN,151.0
BGR,FJI,101.0
BGR,FRA,151.0
BGR,FRO,69.0
BGR,GBR,409.0
BGR,GEO,332.0
BGR,GHA,77.0
BGR,GRC,151.0
BGR,GRD,283.0
BGR,GRL,74.0
BGR,GTM,352.0
BGR,GUY,283.0
BGR,HND,352.0
BGR,HRV,150.0
BGR,HTI,283.0
BGR,HUN,151.0
BGR,IRL,151.0
BGR,ISL,182.0
BGR,ISR,135.0
BGR,ITA,151.0
BGR,JAM,283.0
BGR,JOR,169.0
BGR,JPN,422.0
BGR,KNA,283.0
BGR,KOR,344.0
BGR,LBN,106.0
BGR,LCA,283.0
BGR,LIE,182.0
BGR,LSO,136.0
BGR,LTU,151.0
BGR,LUX,151.0
BGR,LVA,151.0
BGR,MAR,131.0
BGR,MDA,358.0
BGR,MDG,84.0
BGR,MEX,104.0
BGR,MKD,163.0
BGR,MLT,151.0
BGR,MNE,182.0
BGR,MOZ,136.0
BGR,MSR,74.0
BGR,MUS,84.0
BGR,NAM,136.0
BGR,NCL,74.0
BGR,NIC,352.0
BGR,NLD,151.0
BGR,NOR,182.0
BGR,PAN,352.0
BGR,PCN,74.0
BGR,PER,355.0
BGR,PNG,101.0
BGR,POL,151.0
BGR,PRT,151.0
BGR,PSE,117.0
BGR,PYF,74.0
BGR,ROU,151.0
BGR,SGP,354.0
BGR,SLB,101.0
BGR,SLV,352.0
BGR,SMR,30.0
BGR,SPM,74.0
BGR,SRB,197.0
BGR,SUR,283.0
BGR,SVK,151.0
BGR,SVN,151.0
BGR,SWE,151.0
BGR,SWZ,136.0
BGR,SYC,84.0
BGR,SYR,32.0
BGR,TCA,74.0
BGR,TTO,283.0
BGR,TUN,136.0
BGR,TUR,119.0
BGR,UKR,397.0
BGR,VCT,283.0
BGR,VNM,438.0
BGR,WLF,74.0
BGR,WSM,101.0
BGR,XKX,163.0
BGR,ZAF,136.0
BGR,ZWE,84.0
CYP,AIA,74.0
CYP,ALB,170.0
CYP,AND,39.0
CYP,ARM,299.0
CYP,ATG,283.0
CYP,BHS,283.0
CYP,BIH,196.0
CYP,BLZ,283.0
CYP,BMU,74.0
CYP,BRB,283.0
CYP,BWA,136.0
CYP,CAN,432.0
CYP,CHE,69.0
CYP,CHL,262.0
CYP,CIV,86.0
CYP,CMR,118.0
CYP,COL,355.0
CYP,COM,84.0
CYP,CRI,352.0
CYP,CYM,74.0
CYP,CZE,152.0
CYP,DEU,152.0
CYP,DMA,283.0
CYP,DNK,152.0
CYP,DOM,283.0
CYP,DZA,153.0
CYP,ECU,355.0
CYP,EGY,141.0
CYP,ESP,152.0
CYP,EST,152.0
CYP,FIN,152.0
CYP,FJI,101.0
CYP,FRA,152.0
CYP,FRO,69.0
CYP,GBR,409.0
CYP,GEO,332.0
CYP,GHA,77.0
CYP,GRC,152.0
CYP,GRD,283.0
CYP,GRL,74.0
CYP,GTM,352.0
CYP,GUY,283.0
CYP,HND,352.0
CYP,HRV,150.0
CYP,HTI,283.0
CYP,HUN,152.0
CYP,IRL,152.0
CYP,ISL,182.0
CYP,ISR,135.0
CYP,ITA,152.0
CYP,JAM,283.0
CYP,JOR,169.0
CYP,JPN,422.0
CYP,KNA,283.0
CYP,KOR,344.0
CYP,LBN,106.0
CYP,LCA,283.0
CYP,LIE,182.0
CYP,LSO,136.0
CYP,LTU,152.0
CYP,LUX,152.0
CYP,LVA,152.0
CYP,MAR,131.0
CYP,MDA,358.0
CYP,MDG,84.0
CYP,MEX,104.0
CYP,MKD,157.0
CYP,MLT,152.0
CYP,MNE,182.0
CYP,MOZ,136.0
CYP,MSR,74.0
CYP,MUS,84.0
CYP,NAM,136.0
CYP,NCL,74.0
CYP,NIC,352.0
CYP,NLD,152.0
CYP,NOR,182.0
CYP,PAN,352.0
CYP,PCN,74.0
CYP,PER,355.0
CYP,PNG,101.0
CYP,POL,152.0
CYP,PRT,152.0
CYP,PSE,117.0
CYP,PYF,74.0
CYP,ROU,151.0
CYP,SGP,354.0
CYP,SLB,101.0
CYP,SLV,352.0
CYP,SMR,30.0
CYP,SPM,74.0
CYP,SRB,197.0
CYP,SUR,283.0
CYP,SVK,152.0
CYP,SVN,152.0
CYP,SWE,152.0
CYP,SWZ,136.0
CYP,SYC,84.0
CYP,SYR,32.0
CYP,TCA,74.0
CYP,TTO,283.0
CYP,TUN,136.0
CYP,TUR,119.0
CYP,UKR,397.0
CYP,VCT,283.0
CYP,VNM,438.0
CYP,WLF,74.0
CYP,WSM,101.0
CYP,ZAF,136.0
CYP,ZWE,84.0
CZE,AIA,74.0
CZE,ALB,170.0
CZE,AND,39.0
CZE,ARM,299.0
CZE,ATG,283.0
CZE,BHS,283.0
CZE,BIH,196.0
CZE,BLZ,283.0
CZE,BMU,74.0
CZE,BRB,283.0
CZE,BWA,136.0
CZE,CAN,432.0
CZE,CHE,69.0
CZE,CHL,262.0
CZE,CIV,86.0
CZE,CMR,118.0
CZE,COL,355.0
CZE,COM,84.0
CZE,CRI,352.0
CZE,CYM,74.0
CZE,DEU,152.0
CZE,DMA,283.0
CZE,DNK,152.0
CZE,DOM,283.0
CZE,DZA,153.0
CZE,ECU,355.0
CZE,EGY,141.0
CZE,ESP,152.0
CZE,EST,152.0
CZE,FIN,152.0
CZE,FJI,101.0
CZE,FRA,152.0
CZE,FRO,69.0
CZE,GBR,409.0
CZE,GEO,332.0
CZE,GHA,77.0
CZE,GRC,152.0
CZE,GRD,283.0
CZE,GRL,74.0
CZE,GTM,352.0
CZE,GUY,283.0
CZE,HND,352.0
CZE,HRV,150.0
CZE,HTI,283.0
CZE,HUN,152.0
CZE,IRL,152.0
CZE,ISL,182.0
CZE,ISR,135.0
CZE,ITA,152.0
CZE,JAM,283.0
CZE,JOR,169.0
CZE,JPN,422.0
CZE,KNA,283.0
CZE,KOR,344.0
CZE,LBN,106.0
CZE,LCA,283.0
CZE,LIE,182.0
CZE,LSO,136.0
CZE,LTU,152.0
CZE,LUX,152.0
CZE,LVA,152.0
CZE,MAR,131.0
CZE,MDA,358.0
CZE,MDG,84.0
CZE,MEX,104.0
CZE,MKD,157.0
CZE,MLT,152.0
CZE,MNE,182.0
CZE,MOZ,136.0
CZE,MSR,74.0
CZE,MUS,84.0
CZE,NAM,136.0
CZE,NCL,74.0
CZE,NIC,352.0
CZE,NLD,152.0
CZE,NOR,182.0
CZE,PAN,352.0
CZE,PCN,74.0
CZE,PER,355.0
CZE,PNG,101.0
CZE,POL,152.0
CZE,PRT,152.0
CZE,PSE,117.0
CZE,PYF,74.0
CZE,ROU,151.0
CZE,SGP,354.0
CZE,SLB,101.0
CZE,SLV,352.0
CZE,SMR,30.0
CZE,SPM,74.0
CZE,SRB,197.0
CZE,SUR,283.0
CZE,SVK,152.0
CZE,SVN,152.0
CZE,SWE,152.0
CZE,SWZ,136.0
CZE,SYC,84.0
CZE,SYR,32.0
CZE,TCA,74.0
CZE,TTO,283.0
CZE,TUN,136.0
CZE,TUR,119.0
CZE,UKR,397.0
CZE,VCT,283.0
CZE,VNM,438.0
CZE,WLF,74.0
CZE,WSM,101.0
CZE,ZAF,136.0
CZE,ZWE,84.0
DEU,AIA,74.0
DEU,ALB,170.0
DEU,AND,39.0
DEU,ARM,299.0
DEU,ATG,283.0
DEU,BHS,283.0
DEU,BIH,196.0
DEU,BLZ,283.0
DEU,BMU,74.0
DEU,BRB,283.0
DEU,BWA,136.0
DEU,CAN,432.0
DEU,CHE,69.0
DEU,CHL,262.0
DEU,CIV,86.0
DEU,CMR,118.0
DEU,COL,355.0
DEU,COM,84.0
DEU,CRI,352.0
DEU,CYM,74.0
DEU,DMA,283.0
DEU,DNK,167.0
DEU,DOM,283.0
DEU,DZA,153.0
DEU,ECU,355.0
DEU,EGY,141.0
DEU,ESP,167.0
DEU,EST,152.0
DEU,FIN,160.0
DEU,FJI,101.0
DEU,FRA,167.0
DEU,FRO,69.0
DEU,GBR,409.0
DEU,GEO,332.0
DEU,GHA,77.0
DEU,GRC,167.0
DEU,GRD,283.0
DEU,GRL,74.0
DEU,GTM,352.0
DEU,GUY,283.0
DEU,HND,352.0
DEU,HRV,150.0
DEU,HTI,283.0
DEU,HUN,152.0
DEU,IRL,167.0
DEU,ISL,182.0
DEU,ISR,135.0
DEU,ITA,167.0
DEU,JAM,283.0
DEU,JOR,169.0
DEU,JPN,422.0
DEU,KNA,283.0
DEU,KOR,344.0
DEU,LBN,106.0
DEU,LCA,283.0
DEU,LIE,182.0
DEU,LSO,136.0
DEU,LTU,152.0
DEU,LUX,167.0
DEU,LVA,152.0
DEU,MAR,131.0
DEU,MDA,358.0
DEU,MDG,84.0
DEU,MEX,104.0
DEU,MKD,157.0
DEU,MLT,152.0
DEU,MNE,182.0
DEU,MOZ,136.0
DEU,MSR,74.0
DEU,MUS,84.0
DEU,NAM,136.0
DEU,NCL,74.0
DEU,NIC,352.0
DEU,NLD,167.0
DEU,NOR,182.0
DEU,PAN,352.0
DEU,PCN,74.0
DEU,PER,355.0
DEU,PNG,101.0
DEU,POL,152.0
DEU,PRT,167.0
DEU,PSE,117.0
DEU,PYF,74.0
DEU,ROU,151.0
DEU,SGP,354.0
DEU,SLB,101.0
DEU,SLV,352.0
DEU,SMR,30.0
DEU,SPM,74.0
DEU,SRB,197.0
DEU,SUR,283.0
DEU,SVK,152.0
DEU,SVN,152.0
DEU,SWE,160.0
DEU,SWZ,136.0
DEU,SYC,84.0
DEU,SYR,32.0
DEU,TCA,74.0
DEU,TTO,283.0
DEU,TUN,136.0
DEU,TUR,119.0
DEU,UKR,397.0
DEU,VCT,283.0
DEU,VNM,438.0
DEU,WLF,74.0
DEU,WSM,101.0
DEU,ZAF,136.0
DEU,ZWE,84.0
DNK,AIA,74.0
DNK,ALB,170.0
DNK,AND,39.0
DNK,ARM,299.0
DNK,ATG,283.0
DNK,BHS,283.0
DNK,BIH,196.0
DNK,BLZ,283.0
DNK,BMU,74.0
DNK,BRB,283.0
DNK,BWA,136.0
DNK,CAN,432.0
DNK,CHE,201.0
DNK,CHL,262.0
DNK,CIV,86.0
DNK,CMR,118.0
DNK,COL,355.0
DNK,COM,84.0
DNK,CRI,352.0
DNK,CYM,74.0
DNK,DMA,283.0
DNK,DOM,283.0
DNK,DZA,153.0
DNK,ECU,355.0
DNK,EGY,141.0
DNK,ESP,167.0
DNK,EST,152.0
DNK,FIN,160.0
DNK,FJI,101.0
DNK,FRA,167.0
DNK,FRO,69.0
DNK,GBR,409.0
DNK,GEO,332.0
DNK,GHA,77.0
DNK,GRC,167.0
DNK,GRD,283.0
DNK,GRL,74.0
DNK,GTM,352.0
DNK,GUY,283.0
DNK,HND,352.0
DNK,HRV,150.0
DNK,HTI,283.0
DNK,HUN,152.0
DNK,IRL,167.0
DNK,ISL,201.0
DNK,ISR,135.0
DNK,ITA,167.0
DNK,JAM,283.0
DNK,JOR,169.0
DNK,JPN,422.0
DNK,KNA,283.0
DNK,KOR,344.0
DNK,LBN,106.0
DNK,LCA,283.0
DNK,LIE,182.0
DNK,LSO,136.0
DNK,LTU,152.0
DNK,LUX,167.0
DNK,LVA,152.0
DNK,MAR,131.0
DNK,MDA,358.0
DNK,MDG,84.0
DNK,MEX,104.0
DNK,MKD,157.0
DNK,MLT,152.0
DNK,MNE,182.0
DNK,MOZ,136.0
DNK,MSR,74.0
DNK,MUS,84.0
DNK,NAM,136.0
DNK,NCL,74.0
DNK,NIC,352.0
DNK,NLD,167.0
DNK,NOR,201.0
DNK,PAN,352.0
DNK,PCN,74.0
DNK,PER,355.0
DNK,PNG,101.0
DNK,POL,152.0
DNK,PRT,167.0
DNK,PSE,117.0
DNK,PYF,74.0
DNK,ROU,151.0
DNK,SGP,354.0
DNK,SLB,101.0
DNK,SLV,352.0
DNK,SMR,30.0
DNK,SPM,74.0
DNK,SRB,197.0
DNK,SUR,283.0
DNK,SVK,152.0
DNK,SVN,152.0
DNK,SWE,160.0
DNK,SWZ,136.0
DNK,SYC,84.0
DNK,SYR,32.0
DNK,TCA,74.0
DNK,TTO,283.0
DNK,TUN,136.0
DNK,TUR,119.0
DNK,UKR,397.0
DNK,VCT,283.0
DNK,VNM,438.0
DNK,WLF,74.0
DNK,WSM,101.0
DNK,ZAF,136.0
DNK,ZWE,84.0
ESP,AIA,74.0
ESP,ALB,170.0
ESP,AND,39.0
ESP,ARM,299.0
ESP,ATG,283.0
ESP,BHS,283.0
ESP,BIH,196.0
ESP,BLZ,283.0
ESP,BMU,74.0
ESP,BRB,283.0
ESP,BWA,136.0
ESP,CAN,432.0
ESP,CHE,69.0
ESP,CHL,262.0
ESP,CIV,86.0
ESP,CMR,118.0
ESP,COL,355.0
ESP,COM,84.0
ESP,CRI,352.0
ESP,CYM,74.0
ESP,DMA,283.0
ESP,DOM,283.0
ESP,DZA,153.0
ESP,ECU,355.0
ESP,EGY,141.0
ESP,EST,152.0
ESP,FIN,160.0
ESP,FJI,101.0
ESP,FRA,167.0
ESP,FRO,69.0
ESP,GBR,409.0
ESP,GEO,332.0
ESP,GHA,77.0
ESP,GRC,167.0
ESP,GRD,283.0
ESP,GRL,74.0
ESP,GTM,352.0
ESP,GUY,283.0
ESP,HND,352.0
ESP,HRV,150.0
ESP,HTI,283.0
ESP,HUN,152.0
ESP,IRL,167.0
ESP,ISL,182.0
ESP,ISR,135.0
ESP,ITA,167.0
ESP,JAM,283.0
ESP,JOR,169.0
ESP,JPN,422.0
ESP,KNA,283.0
ESP,KOR,344.0
ESP,LBN,106.0
ESP,LCA,283.0
ESP,LIE,182.0
ESP,LSO,136.0
ESP,LTU,152.0
ESP,LUX,167.0
ESP,LVA,152.0
ESP,MAR,131.0
ESP,MDA,358.0
ESP,MDG,84.0
ESP,MEX,104.0
ESP,MKD,157.0
ESP,MLT,152.0
ESP,MNE,182.0
ESP,MOZ,136.0
ESP,MSR,74.0
ESP,MUS,84.0
ESP,NAM,136.0
ESP,NCL,74.0
ESP,NIC,352.0
ESP,NLD,167.0
ESP,NOR,182.0
ESP,PAN,352.0
ESP,PCN,74.0
ESP,PER,355.0
ESP,PNG,101.0
ESP,POL,152.0
ESP,PRT,167.0
ESP,PSE,117.0
ESP,PYF,74.0
ESP,ROU,151.0
ESP,SGP,354.0
ESP,SLB,101.0
ESP,SLV,352.0
ESP,SMR,30.0
ESP,SPM,74.0
ESP,SRB,197.0
ESP,SUR,283.0
ESP,SVK,152.0
ESP,SVN,152.0
ESP,SWE,160.0
ESP,SWZ,136.0
ESP,SYC,84.0
ESP,SYR,32.0
ESP,TCA,74.0
ESP,TTO,283.0
ESP,TUN,136.0
ESP,TUR,119.0
ESP,UKR,397.0
ESP,VCT,283.0
ESP,VNM,438.0
ESP,WLF,74.0
ESP,WSM,101.0
ESP,ZAF,136.0
ESP,ZWE,84.0
EST,AIA,74.0
EST,ALB,170.0
EST,AND,39.0
EST,ARM,299.0
EST,ATG,283.0
EST,BHS,283.0
EST,BIH,196.0
EST,BLZ,283.0
EST,BMU,74.0
EST,BRB,283.0
EST,BWA,136.0
EST,CAN,432.0
EST,CHE,69.0
EST,CHL,262.0
EST,CIV,86.0
EST,CMR,118.0
EST,COL,355.0
EST,COM,84.0
EST,CRI,352.0
EST,CYM,74.0
EST,DMA,283.0
EST,DOM,283.0
EST,DZA,153.0
EST,ECU,355.0
EST,EGY,141.0
EST,FIN,152.0
EST,FJI,101.0
EST,FRA,152.0
EST,FRO,69.0
EST,GBR,409.0
EST,GEO,332.0
EST,GHA,77.0
EST,GRC,152.0
EST,GRD,283.0
EST,GRL,74.0
EST,GTM,352.0
EST,GUY,283.0
EST,HND,352.0
EST,HRV,150.0
EST,HTI,283.0
EST,HUN,152.0
EST,IRL,152.0
EST,ISL,182.0
EST,ISR,135.0
EST,ITA,152.0
EST,JAM,283.0
EST,JOR,169.0
EST,JPN,422.0
EST,KNA,283.0
EST,KOR,344.0
EST,LBN,106.0
EST,LCA,283.0
EST,LIE,182.0
EST,LSO,136.0
EST,LTU,152.0
EST,LUX,152.0
EST,LVA,152.0
EST,MAR,131.0
EST,MDA,358.0
EST,MDG,84.0
EST,MEX,104.0
