iso3,country,tariff_mean,trade_pct_gdp,rule_of_law,regulatory_quality,govt_effectiveness,control_corruption,tariff_mean_norm,trade_pct_gdp_norm,dta_depth_norm,desta_design_norm,rta_count_norm,rule_of_law_norm,regulatory_quality_norm,govt_effectiveness_norm,control_corruption_norm,wto_dispute_rate_norm,isds_rate_norm,gta_distortion_ratio_norm,ntm_coverage_norm,stc_count_norm,commitment_score,implementation_score,gap_score,data_completeness,limited_data,quadrant
USA,United States,2.72,27.3139397355363,75.0674875,77.8706056,79.9489163,72.192362,79.83383685800604,0.0,,,,69.18560184867002,80.6156158253425,77.59527441863754,68.81825388543238,,,,,,39.9,74.1,-34.2,6,False,Quiet complier
CHN,China,5.36,37.440719876366,47.2602075,53.4303195,61.6310064,48.7299338,59.89425981873111,2.631267251970554,,,,16.805774235884492,29.732135401713165,48.68056552637531,35.957002704545616,,,,,,31.3,32.8,-1.5,6,False,Disengaged
GBR,United Kingdom,1.13,69.1989264413981,79.3292982,80.87291,76.4866596,80.9553454,91.8429003021148,10.883083500944501,,,,77.21346037292427,86.86626676036474,72.13012336498024,81.09160411784103,,,,,,51.4,79.3,-27.9,6,False,Strong performer
SGP,Singapore,0.05,332.34956775484,81.5399907,87.1812874,94.1426523,89.0057518,100.0,79.2581894273953,,,,81.37768254981026,100.0,100.0,92.36692586048223,,,,,,89.6,93.4,-3.8,6,False,Strong performer
HKG,Hong Kong SAR,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
BRA,Brazil,13.29,38.8160659764321,49.3948665,51.7253658,46.7668678,38.6190444,0.0,2.9886269559339533,,,,20.82677414785291,26.182505177984133,25.21761353569878,21.79578829812005,,,,,,1.5,23.5,-22.0,6,False,Disengaged
IND,India,10.06,50.0752701498882,55.0631273,53.4803007,57.9369129,41.9344499,24.39577039274924,5.914134848162956,,,,31.503925007926593,29.83619381581452,42.84946149996573,26.439313340510733,,,,,,15.2,32.7,-17.5,6,False,Disengaged
NLD,Netherlands,1.95,184.107484252682,86.7204829,82.0427251,85.6594208,86.6695427,85.64954682779457,40.74006873566336,,,,91.13603677882438,89.30176458950496,86.60927089240849,89.09485387408087,,,,,,63.2,89.0,-25.8,6,False,Strong performer
AUS,Australia,2.01,45.6946418805752,82.2979363,83.2556593,85.7080678,82.8487082,85.1963746223565,4.77590497175573,,,,82.80540435028371,91.82703427613316,86.686059884775,83.74342983753986,,,,,,45.0,86.3,-41.3,6,False,Quiet complier
CAN,Canada,1.83,67.3176215563989,82.8712609,80.6051381,86.4805807,81.2937211,86.5558912386707,10.394259228467995,,,,83.88536052414065,86.30877875977838,87.90546677895442,81.56552986740212,,,,,,48.5,84.9,-36.4,6,False,Quiet complier
FRA,France,1.95,75.9630077981996,74.5113529,74.8750592,79.8021859,75.9023965,85.64954682779457,12.640612104933538,,,,68.13802601681932,74.37903471582456,77.36366137845957,74.01449250809358,,,,,,49.1,73.5,-24.4,6,False,Quiet complier
DEU,Germany,1.95,88.7857542130501,84.1757238,79.523299,85.9365,84.7431984,85.64954682779457,15.972379187116342,,,,86.34254230636726,84.05644266022807,87.04663871722241,86.3968345828308,,,,,,50.8,86.0,-35.2,6,False,Strong performer
IRL,Ireland,1.95,237.755419559378,82.8500677,82.7232745,84.5079207,81.1797592,85.64954682779457,54.679549335148195,,,,83.84543946165043,90.71863515847153,84.79163501786414,81.4059159268062,,,,,,70.2,85.2,-15.0,6,False,Strong performer
MEX,Mexico,2.69,88.7984855867186,38.3383975,52.3971353,49.640729,30.1282206,80.06042296072508,15.975687212583537,,,,0.0,27.581096424526102,29.753985886496697,9.903622182745364,,,,,,48.0,16.8,31.2,6,False,Disengaged
ESP,Spain,1.95,78.4657338703054,73.4979264,68.0777898,73.5436342,63.6771189,85.64954682779457,13.290901837958724,,,,66.22906169638853,60.2274522411401,67.48457574693384,56.89188633344078,,,,,,49.5,62.7,-13.2,6,False,Quiet complier
ITA,Italy,1.95,72.0165023032697,66.8431119,64.3443586,65.2987922,59.4705879,85.64954682779457,11.615181462210009,,,,53.6935660885813,52.45463106380671,54.47014300902102,51.0002594901805,,,,,,48.6,52.9,-4.3,6,False,Quiet complier
RUS,Russia,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
IDN,Indonesia,5.82,45.4646701959453,54.7424954,59.296523,55.8672272,40.36113,56.419939577039266,4.716150839224759,,,,30.899959296459677,41.94528420578039,39.58247526405362,24.23573662709164,,,,,,30.6,34.2,-3.6,6,False,Disengaged
THA,Thailand,8.26,132.858712082871,52.3485261,56.6541981,55.7638453,39.6776827,37.99093655589124,27.423968846180095,,,,26.39050352644906,36.44409298519078,39.41928756635515,23.278506914857548,,,,,,32.7,31.4,1.3,6,False,Disengaged
POL,Poland,1.95,123.021332860345,63.0667016,65.6980685,61.3624514,61.3638697,85.64954682779457,24.867897376919643,,,,46.58004328055595,55.27298887328927,48.256653099195965,53.651971762058714,,,,,,55.3,50.9,4.4,6,False,Strong performer
TUR,Turkey,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
SAU,Saudi Arabia,5.96,56.8241647749332,57.6414938,63.6030924,61.3410999,53.4564616,55.36253776435044,7.667717444696552,,,,36.360724838495464,50.91135108655644,48.22294988685989,42.57693206246451,,,,,,31.5,44.5,-13.0,6,False,Disengaged
ARE,United Arab Emirates,,185.741660982819,64.0194293,71.5429018,73.3741309,68.5486955,85.64954682779457,41.164681065954305,,,,48.374670899220035,67.44164596605245,67.2170158232016,63.71496964497672,,,,,,63.4,61.7,1.7,5,True,Strong performer
MYS,Malaysia,5.43,146.424604753908,62.0469295,65.2051438,66.618172,55.3650278,59.3655589123867,30.94882952574872,,,,44.65912592357862,54.246743754056666,56.55277596461447,45.25005151791587,,,,,,45.2,50.2,-5.0,6,False,Quiet complier
ZAF,South Africa,7.31,64.94713440234,57.5516367,53.8802608,51.3101517,44.545875,45.166163141993955,9.77832947261758,,,,36.191463428973044,30.66889118422147,32.3891594216954,30.09685020837731,,,,,,27.5,32.3,-4.8,6,False,Disengaged
KOR,South Korea,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
JPN,Japan,1.99,46.8129868368938,82.9264987,77.1114908,90.8264358,77.0417965,85.34743202416918,5.06648740951432,,,,83.98941048665802,79.03517593576659,94.76537251003639,75.61032518476014,,,,,,45.2,83.4,-38.2,6,False,Quiet complier
ARG,Argentina,11.95,31.5801792606256,51.9503978,45.7273179,53.451823,40.9679996,10.120845921450154,1.1085079556699198,,,,25.64055992456597,13.694862780883026,35.769774487523016,25.08571234953814,,,,,,5.6,25.0,-19.4,6,False,Disengaged
CHL,Chile,1.03,75.2016177425303,69.7653654,67.9183786,68.3609589,71.0373983,92.59818731117825,12.442778174345754,,,,59.198136638842215,59.89556591864294,59.30375444140827,67.20062284030014,,,,,,52.5,61.4,-8.9,6,False,Strong performer
COL,Colombia,3.55,48.2826551123359,47.8491027,57.8029206,51.3712487,42.6648919,73.56495468277946,5.448355086174871,,,,17.915060331396063,38.83567705265112,32.485600663017955,27.462363377380722,,,,,,39.5,29.2,10.3,6,False,Disengaged
VNM,Vietnam,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
PHL,Philippines,3.94,72.4296836107599,46.0841106,54.9385089,52.0364364,36.1659708,70.61933534743201,11.722539420850971,,,,14.59039204539584,32.87211197547452,33.535595384534375,18.360037017491635,,,,,,41.2,24.8,16.4,6,False,Disengaged
PAK,Pakistan,10.97,33.031353478032,41.2878353,42.7921461,38.0780236,28.7069653,17.52265861027189,1.4855702738069676,,,,5.555776887154491,7.583978635983874,11.50232603702945,7.913025684917124,,,,,,9.5,8.1,1.4,6,False,Disengaged
EGY,Egypt,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
NGA,Nigeria,11.9,,39.7570843,39.1494195,30.7911243,23.0571866,10.498489425981859,15.611409337737703,,,,2.6723422794510827,0.0,0.0,0.0,,,,,,13.1,0.7,12.4,5,True,Disengaged
KAZ,Kazakhstan,4.75,68.3343147415612,49.3810257,53.8525157,54.4581171,43.9682585,64.50151057401811,10.658429225862646,,,,20.800702604069308,30.61112724287784,37.35820357797843,29.287846096316787,,,,,,37.6,29.5,8.1,6,False,Disengaged
UKR,Ukraine,2.09,87.3965139907244,44.1890986,48.3605632,38.9508053,34.014237,84.59214501510574,15.611409337737703,,,,11.020808760581213,19.17715071830467,12.880006619571985,15.346339361244624,,,,,,50.1,14.6,35.5,6,False,Over-committed
CZE,Czech Republic,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
ROU,Romania,1.95,93.9496509383447,64.4553816,61.0724244,55.2104413,49.1951187,85.64954682779457,17.314127714967018,,,,49.19586255555597,45.642624071257494,38.545742732519415,36.608536199465625,,,,,,51.5,42.5,9.0,6,False,Over-committed
HUN,Hungary,1.95,185.000204092698,61.1404022,59.4086263,64.1294133,48.6697861,85.64954682779457,40.97202642088531,,,,42.951524759412834,42.178677794040155,52.62428555787951,35.8727604146682,,,,,,63.3,43.4,19.9,6,False,Over-committed
PRT,Portugal,1.95,101.364146479435,76.338565,67.6155815,71.2121173,63.7659063,85.64954682779457,19.240655104308964,,,,71.57989644823138,59.26515716454159,63.80429056107377,57.01624111156634,,,,,,52.4,62.9,-10.5,6,False,Strong performer
SWE,Sweden,1.95,107.111751826512,86.879293,80.476847,88.5743205,88.8546204,85.64954682779457,20.73407014015426,,,,91.43518310529608,86.04168296357261,91.21042226479527,92.1552526758321,,,,,,53.2,90.2,-37.0,6,False,Strong performer
CHE,Switzerland,3.16,138.500698753519,87.5885942,82.6520571,90.7446251,90.2596865,76.51057401812689,28.889940710492162,,,,92.7712747540133,90.57036401451293,94.63623481978209,94.12317473591321,,,,,,52.7,93.0,-40.3,6,False,Strong performer
BEL,Belgium,1.95,191.179031303786,80.0237604,77.0684112,76.8196093,79.7844434,85.64954682779457,42.577486939433534,,,,78.52160019528719,78.9454863153469,72.65568243278993,79.45165004308747,,,,,,64.1,77.4,-13.3,6,False,Strong performer
AUT,Austria,1.95,123.579578652902,85.2240691,76.9614999,85.1211403,75.5418927,85.64954682779457,25.012947812702603,,,,88.31728223392126,78.7229022171757,85.75959841094914,73.5095743545896,,,,,,55.3,81.6,-26.3,6,False,Strong performer
FIN,Finland,1.95,94.5625340522667,91.2817565,84.9743909,88.2297958,92.1730581,85.64954682779457,17.473374706066057,,,,99.72798553694633,95.4053494138628,90.6665921301851,96.80302458836691,,,,,,51.6,95.7,-44.1,6,False,Strong performer
DNK,Denmark,1.95,131.995824909071,91.4261629,86.7303352,92.1406221,94.4556494,85.64954682779457,27.19976265912059,,,,100.0,99.06113957312911,96.83980755760146,100.0,,,,,,56.4,99.0,-42.6,6,False,Strong performer
NOR,Norway,2.57,82.6094798361389,90.3692278,79.6713091,86.7536233,89.0101199,80.96676737160121,14.367581978018471,,,,98.00907969654344,84.36459245008875,88.33646285532372,92.3730437793123,,,,,,47.7,90.8,-43.1,6,False,Quiet complier
NZL,New Zealand,2.27,53.4761627655817,86.6018582,84.205121,83.5496532,90.0036271,83.23262839879153,6.797797497366043,,,,90.9125866126586,93.80376710271557,83.27901562216464,93.76454040408275,,,,,,45.0,90.4,-45.4,6,False,Quiet complier
ISR,Israel,3.16,60.6448526742952,70.7509398,72.5639326,80.9687007,65.8259602,76.51057401812689,8.66045657893115,,,,61.05463670542818,69.56738215879379,79.20499786524486,59.901532782019494,,,,,,42.6,67.4,-24.8,6,False,Quiet complier
PER,Peru,1.1,57.2969759649721,48.5787659,55.992677,49.6189517,34.8686443,92.06948640483384,7.790569188628325,,,,19.289507333454278,35.066838406257354,29.71961055146136,16.543014004497582,,,,,,49.9,25.2,24.7,6,False,Disengaged
BGD,Bangladesh,12.89,33.7799672705735,40.2076588,40.2892485,39.2181042,24.0032436,3.021148036253763,1.6800845151842405,,,,3.5210773817953886,2.373068235391276,13.301936300573525,1.325038331217405,,,,,,2.4,5.1,-2.7,6,False,Disengaged
BGR,Bulgaria,1.95,138.844877241238,55.2470323,58.7677262,49.9067134,45.0830509,85.64954682779457,28.97936948952889,,,,31.850341924544452,40.84435512864991,30.173840637277134,30.849213605198234,,,,,,57.3,33.4,23.9,6,False,Over-committed
HRV,Croatia,1.95,125.410877974694,64.4429262,59.5836638,65.266939,50.0161882,85.64954682779457,25.48877901146233,,,,49.172400652599336,42.543097308943075,54.419862927378794,37.75851824081568,,,,,,55.6,46.0,9.6,6,False,Over-committed
SVK,Slovakia,,,,,,,85.64954682779457,15.611409337737703,,,,59.529872489227074,59.58036154159226,60.34407039085149,56.954063722503555,,,,,,50.6,59.1,-8.5,0,True,Strong performer
LTU,Lithuania,1.95,175.651612151093,78.1051508,73.5563003,69.679071,65.1627159,85.64954682779457,38.54295780421781,,,,74.90756674418247,71.6334431790857,61.38438634029474,58.97259919719167,,,,,,62.1,66.7,-4.6,6,False,Strong performer
LVA,Latvia,1.95,159.892778190649,74.3265529,69.9885637,65.4871192,64.5316679,85.64954682779457,34.44829956608997,,,,67.78992321270316,64.20559005576378,54.76741602822902,58.0887594403503,,,,,,60.0,61.2,-1.2,6,False,Strong performer
EST,Estonia,1.95,175.68711950524,83.1610479,79.1667514,77.7596927,80.1544972,85.64954682779457,38.5521837710969,,,,84.43122452466233,83.31412799376056,74.13959833770704,79.96994383470114,,,,,,62.1,80.5,-18.4,6,False,Strong performer
CYP,Cyprus,1.95,205.753543745524,70.1175877,66.425314,69.8303144,59.2971423,85.64954682779457,46.36441988041477,,,,59.861608339611905,56.78707843881291,61.62312312340755,50.757333251718116,,,,,,66.0,57.3,8.7,6,False,Strong performer
LUX,Luxembourg,,412.177169924175,87.0446706,84.3104046,89.5582268,87.6782432,85.64954682779457,100.0,,,,91.74670045539347,94.0229624090884,92.76351234969424,90.50763008864106,,,,,,92.8,92.3,0.5,5,True,Strong performer
